Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
IBM BOB 2 - Workforce,2026-03,EMP5878,FP&A,FP&A,Customer Service Lead,PNG01,OPS,Operations & Logistics,15622.18,0,1258.72,0,16880.9,180.2,64.7,forecast_models,236,65099.03,71.53,High,High overtime,Review allocation / approve exception,TXN005663,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7491,Commercial,Commercial,Operations Planner,FJI01,CORP,Corporate Head Office,15563.1,783.69,1054.58,0,17401.37,127.6,69.4,revenue_cases,195,140579.07,89.24,Medium,None,No action,TXN005664,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6509,Commercial,Commercial,Customer Service Lead,AUS01,R&D,Research & Development,6784.68,0,2860.66,0,9645.34,154.7,66.6,revenue_cases,65,563011.76,148.39,Low,Low utilisation high cost,Review allocation / approve exception,TXN005665,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1733,FP&A,FP&A,Inventory Coordinator,FJI01,SA,South Australia Operations,8878.8,404.39,1629.04,0,10912.23,167.5,78.5,forecast_models,151,617847.79,72.27,High,Low utilisation high cost,Review allocation / approve exception,TXN005666,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7362,Commercial,Commercial,Procurement Specialist,NZL01,FIN,Finance & Accounting,12362.38,11.29,2328.66,3590.5,18292.83,146.6,81.7,revenue_cases,190,285672.84,96.28,Medium,Contractor dependency,Review allocation / approve exception,TXN005667,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8607,Commercial,Commercial,Customer Service Lead,AUS01,QLD,Queensland Operations,19955.64,1758.65,2091.7,7174.24,30980.23,121.3,55.4,revenue_cases,86,467932.35,360.24,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005668,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5369,Finance,Finance,Controller,NZL01,ACT,Australian Capital Territory,17938.31,1519.92,1698.15,8542.78,29699.16,122.8,87.8,close_tasks,256,82422.41,116.01,Low,Contractor dependency,Review allocation / approve exception,TXN005669,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4473,Commercial,Commercial,Revenue Analyst,AUS01,NT,Northern Territory Operations,16679.81,0,2783.1,0,19462.91,130.1,76.5,revenue_cases,243,295150.83,80.09,Low,Low utilisation high cost,Review allocation / approve exception,TXN005670,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4287,FP&A,FP&A,Procurement Specialist,PNG01,VIC,Victoria Operations,10064.86,1472.93,1267.27,0,12805.06,183.5,72.0,forecast_models,160,583967.54,80.03,High,Low utilisation high cost,Review allocation / approve exception,TXN005671,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3509,IT,IT,Customer Service Lead,PNG01,ACT,Australian Capital Territory,18139.62,0,2022.92,0,20162.54,125.2,78.7,tickets_resolved,151,684197.59,133.53,Low,None,No action,TXN005672,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9337,Sales,Sales,Data Engineer,FJI01,R&D,Research & Development,11729.59,37.98,2440.11,4148.23,18355.91,128.0,77.5,deals_supported,292,78994.82,62.86,High,Contractor dependency,Review allocation / approve exception,TXN005673,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9404,IT,IT,Revenue Analyst,NZL01,FIN,Finance & Accounting,16216.53,0,1970.28,0,18186.81,169.2,68.2,tickets_resolved,198,156033.01,91.85,Low,High overtime,Review allocation / approve exception,TXN005674,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3485,FP&A,FP&A,Controller,NZL01,NT,Northern Territory Operations,15439.5,1363.4,1311.93,13187.05,31301.88,153.5,66.7,forecast_models,209,721513.41,149.77,High,High overtime,Review allocation / approve exception,TXN005675,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1620,Commercial,Commercial,Controller,NZL01,CORP,Corporate Head Office,11716.42,866.08,2836.63,0,15419.13,163.2,77.4,revenue_cases,288,604429.61,53.54,Low,Low utilisation high cost,Review allocation / approve exception,TXN005676,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9036,Sales,Sales,Revenue Analyst,AUS01,CORP,Corporate Head Office,9828.78,1557.4,2025.58,2191.31,15603.07,150.5,88.9,deals_supported,124,309625.26,125.83,High,Contractor dependency,Review allocation / approve exception,TXN005677,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1642,Sales,Sales,Finance Analyst,NZL01,NSW,New South Wales Operations,12835.06,0,2592.3,13611.17,29038.53,127.2,92.7,deals_supported,203,760342.84,143.05,Medium,None,No action,TXN005678,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5667,IT,IT,Data Engineer,PNG01,CORP,Corporate Head Office,11320.19,1202.65,1397.18,13421.39,27341.41,169.7,67.9,tickets_resolved,295,345836.29,92.68,High,Low utilisation high cost,Review allocation / approve exception,TXN005679,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7333,IT,IT,FP&A Manager,FJI01,CORP,Corporate Head Office,15029.09,2002.46,1146.2,0,18177.75,132.8,82.1,tickets_resolved,68,653346.37,267.32,High,Contractor dependency,Review allocation / approve exception,TXN005680,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1911,FP&A,FP&A,Sales Manager,NZL01,CORP,Corporate Head Office,17914.49,0,2844.62,0,20759.11,164.4,89.5,forecast_models,167,720142.78,124.31,Low,High overtime,Review allocation / approve exception,TXN005681,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9445,Customer Care,Customer Care,Controller,AUS01,NSW,New South Wales Operations,9116.18,0,2289.02,0,11405.2,183.1,57.3,cases_resolved,125,107606.98,91.24,Low,None,No action,TXN005682,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6631,Commercial,Commercial,Operations Planner,FJI01,QLD,Queensland Operations,5791.48,961.4,2675.77,245.16,9673.81,132.4,64.1,revenue_cases,230,699521.66,42.06,High,Contractor dependency,Review allocation / approve exception,TXN005683,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1747,Finance,Finance,FP&A Manager,AUS01,OPS,Operations & Logistics,19222.32,0,2057.5,0,21279.82,149.7,60.0,close_tasks,163,232482.63,130.55,Low,Contractor dependency,Review allocation / approve exception,TXN005684,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5721,Procurement,Procurement,Controller,AUS01,OPS,Operations & Logistics,12009.1,0,2770.32,0,14779.42,134.9,58.7,pos_processed,279,174574.55,52.97,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005685,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2030,FP&A,FP&A,Finance Analyst,PNG01,IT,Information Technology,12473.5,636.96,1396.61,4063.63,18570.7,162.8,88.3,forecast_models,63,639842.9,294.77,Medium,High overtime,Review allocation / approve exception,TXN005686,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1522,FP&A,FP&A,Finance Analyst,NZL01,NSW,New South Wales Operations,8212.16,1878.7,851.46,407.07,11349.39,184.5,97.4,forecast_models,151,84457.07,75.16,Low,High overtime,Review allocation / approve exception,TXN005687,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5761,Customer Care,Customer Care,Finance Analyst,PNG01,VIC,Victoria Operations,13362.17,735.71,1683.34,0,15781.22,148.9,67.5,cases_resolved,66,82039.76,239.11,Low,Low utilisation high cost,Review allocation / approve exception,TXN005688,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1290,IT,IT,Finance Analyst,FJI01,CORP,Corporate Head Office,18471.92,1897.82,2285.69,0,22655.43,160.9,86.5,tickets_resolved,150,48065.07,151.04,High,High overtime,Review allocation / approve exception,TXN005689,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4576,Finance,Finance,Revenue Analyst,AUS01,WA,Western Australia Operations,6164.25,292.47,710.59,8353.83,15521.14,124.8,63.8,close_tasks,91,208039.22,170.56,Low,High overtime,Review allocation / approve exception,TXN005690,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9493,IT,IT,Finance Analyst,PNG01,SA,South Australia Operations,6472.54,1495.84,1042.33,13463.04,22473.75,167.4,92.8,tickets_resolved,268,467450.4,83.86,Low,Contractor dependency,Review allocation / approve exception,TXN005691,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2181,IT,IT,Finance Analyst,AUS01,WA,Western Australia Operations,6303.25,0,854.8,11990.2,19148.25,163.9,62.5,tickets_resolved,48,447985.32,398.92,High,Contractor dependency,Review allocation / approve exception,TXN005692,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9478,Commercial,Commercial,Data Engineer,AUS01,OPS,Operations & Logistics,8236.5,0,2548.64,8165.08,18950.22,155.5,76.0,revenue_cases,226,465238.62,83.85,Low,Low utilisation high cost,Review allocation / approve exception,TXN005693,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3014,FP&A,FP&A,Revenue Analyst,PNG01,FIN,Finance & Accounting,18726.9,2081.59,1008.74,0,21817.23,173.1,90.1,forecast_models,263,115196.58,82.96,Medium,High overtime,Review allocation / approve exception,TXN005694,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7763,Procurement,Procurement,Finance Analyst,AUS01,QLD,Queensland Operations,18040.34,711.62,2000.6,10675.06,31427.62,168.1,59.1,pos_processed,264,479813.05,119.04,High,High overtime,Review allocation / approve exception,TXN005695,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4809,Commercial,Commercial,Customer Service Lead,FJI01,TAS,Tasmania Operations,7025.27,1747.55,2521.6,1720.63,13015.05,157.8,72.5,revenue_cases,122,695239.93,106.68,High,Contractor dependency,Review allocation / approve exception,TXN005696,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3120,Commercial,Commercial,Data Engineer,AUS01,OPS,Operations & Logistics,11494.86,0,1766.16,0,13261.02,179.5,67.7,revenue_cases,127,499806.94,104.42,Low,Contractor dependency,Review allocation / approve exception,TXN005697,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5229,Operations,Operations,Operations Planner,PNG01,NT,Northern Territory Operations,6568.95,1431.7,2881.54,0,10882.19,165.8,87.9,flights_supported,274,162138.51,39.72,Low,None,No action,TXN005698,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1305,Sales,Sales,Customer Service Lead,PNG01,R&D,Research & Development,14993.63,1227.84,951.87,0,17173.34,179.3,63.0,deals_supported,97,514252.57,177.04,Medium,Contractor dependency,Review allocation / approve exception,TXN005699,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4901,Operations,Operations,Revenue Analyst,AUS01,CORP,Corporate Head Office,18049.54,0,1562.63,0,19612.17,135.7,75.4,flights_supported,128,367739.0,153.22,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005700,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4000,Operations,Operations,Finance Analyst,FJI01,ACT,Australian Capital Territory,8698.0,1307.19,1876.52,0,11881.71,147.1,89.3,flights_supported,233,586207.59,50.99,Low,Low utilisation high cost,Review allocation / approve exception,TXN005701,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6196,FP&A,FP&A,Inventory Coordinator,AUS01,HR,Human Resources,10455.35,2102.61,2237.19,0,14795.15,174.7,68.9,forecast_models,193,243496.11,76.66,High,None,No action,TXN005702,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1939,Customer Care,Customer Care,Inventory Coordinator,AUS01,CORP,Corporate Head Office,9446.0,196.74,2170.72,14772.19,26585.65,121.5,88.2,cases_resolved,102,212173.05,260.64,High,Contractor dependency,Review allocation / approve exception,TXN005703,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4610,Customer Care,Customer Care,Revenue Analyst,FJI01,QLD,Queensland Operations,6749.87,685.56,2771.84,5860.15,16067.42,134.0,97.7,cases_resolved,173,534945.78,92.88,Low,Low utilisation high cost,Review allocation / approve exception,TXN005704,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6159,Finance,Finance,Operations Planner,PNG01,WA,Western Australia Operations,14847.29,0,1058.26,0,15905.55,139.9,55.4,close_tasks,175,571253.16,90.89,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005705,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7519,Commercial,Commercial,Operations Planner,NZL01,QLD,Queensland Operations,15968.6,2032.12,1771.05,0,19771.77,183.4,85.7,revenue_cases,152,326920.54,130.08,Medium,High overtime,Review allocation / approve exception,TXN005706,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7868,Sales,Sales,Data Engineer,AUS01,HR,Human Resources,18805.24,136.65,2479.24,0,21421.13,135.7,64.7,deals_supported,179,647732.36,119.67,High,Low utilisation high cost,Review allocation / approve exception,TXN005707,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8956,FP&A,FP&A,FP&A Manager,AUS01,IT,Information Technology,14667.99,1197.25,1355.12,9111.18,26331.54,134.1,80.3,forecast_models,254,578213.82,103.67,Low,None,No action,TXN005708,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1188,IT,IT,Data Engineer,PNG01,VIC,Victoria Operations,9441.73,1096.32,2006.97,9259.57,21804.59,166.1,92.9,tickets_resolved,44,304300.08,495.56,Medium,None,No action,TXN005709,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3232,Finance,Finance,Operations Planner,AUS01,ACT,Australian Capital Territory,11609.2,687.37,591.35,0,12887.92,144.9,71.5,close_tasks,162,735348.58,79.56,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005710,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9314,Finance,Finance,Customer Service Lead,AUS01,WA,Western Australia Operations,7756.09,0,1121.92,0,8878.01,173.7,58.3,close_tasks,50,417151.98,177.56,Low,None,No action,TXN005711,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9055,Commercial,Commercial,Revenue Analyst,AUS01,HR,Human Resources,19337.01,0,1143.55,0,20480.56,135.7,58.5,revenue_cases,287,517430.29,71.36,Low,High overtime,Review allocation / approve exception,TXN005712,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9972,Commercial,Commercial,Controller,FJI01,VIC,Victoria Operations,18011.43,137.01,2534.03,0,20682.47,127.9,65.3,revenue_cases,101,126725.5,204.78,High,High overtime,Review allocation / approve exception,TXN005713,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7619,IT,IT,Revenue Analyst,AUS01,R&D,Research & Development,5545.29,0,2078.66,0,7623.95,173.8,84.3,tickets_resolved,138,245157.03,55.25,Medium,High overtime,Review allocation / approve exception,TXN005714,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3202,Customer Care,Customer Care,Controller,PNG01,OPS,Operations & Logistics,12400.92,1407.5,1519.48,1113.86,16441.76,138.8,60.8,cases_resolved,271,630563.38,60.67,High,None,No action,TXN005715,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5669,Sales,Sales,Operations Planner,NZL01,QLD,Queensland Operations,16279.33,580.32,670.58,0,17530.23,163.6,70.2,deals_supported,111,17268.59,157.93,High,Low utilisation high cost,Review allocation / approve exception,TXN005716,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9402,Commercial,Commercial,Data Engineer,NZL01,MKT,Marketing & Sales,14370.22,1069.12,911.09,0,16350.43,164.7,55.6,revenue_cases,193,484250.52,84.72,Low,None,No action,TXN005717,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8986,Customer Care,Customer Care,Operations Planner,AUS01,FIN,Finance & Accounting,5425.44,0,2362.21,0,7787.65,169.6,65.1,cases_resolved,136,133659.97,57.26,Medium,None,No action,TXN005718,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3813,Sales,Sales,Data Engineer,FJI01,NT,Northern Territory Operations,15570.82,838.84,1351.45,11315.93,29077.04,149.2,91.3,deals_supported,291,787001.69,99.92,High,None,No action,TXN005719,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2522,Procurement,Procurement,Operations Planner,NZL01,R&D,Research & Development,7243.56,1366.72,2612.84,8757.39,19980.51,122.9,91.3,pos_processed,291,37498.36,68.66,Low,Contractor dependency,Review allocation / approve exception,TXN005720,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7929,Commercial,Commercial,FP&A Manager,PNG01,SA,South Australia Operations,10104.76,1172.25,2850.38,10328.6,24455.99,149.1,87.9,revenue_cases,143,78350.82,171.02,Medium,None,No action,TXN005721,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8123,IT,IT,Controller,PNG01,QLD,Queensland Operations,12896.86,884.63,1176.7,0,14958.19,129.7,78.8,tickets_resolved,131,472429.24,114.18,Medium,Contractor dependency,Review allocation / approve exception,TXN005722,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8612,Commercial,Commercial,Sales Manager,PNG01,FIN,Finance & Accounting,12657.1,2021.41,1096.86,13028.65,28804.02,166.3,87.2,revenue_cases,47,445354.93,612.85,High,Contractor dependency,Review allocation / approve exception,TXN005723,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1872,Operations,Operations,Controller,NZL01,OPS,Operations & Logistics,17093.47,0,2201.94,0,19295.41,162.7,86.9,flights_supported,162,639615.46,119.11,High,Contractor dependency,Review allocation / approve exception,TXN005724,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5326,Commercial,Commercial,Revenue Analyst,NZL01,MKT,Marketing & Sales,13245.2,972.98,2927.88,0,17146.06,163.7,59.8,revenue_cases,81,415037.88,211.68,Low,None,No action,TXN005725,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8618,Procurement,Procurement,Customer Service Lead,AUS01,ACT,Australian Capital Territory,19610.36,0,1599.23,11771.66,32981.25,134.6,95.4,pos_processed,268,552430.2,123.06,Low,Contractor dependency,Review allocation / approve exception,TXN005726,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5243,FP&A,FP&A,Customer Service Lead,PNG01,TAS,Tasmania Operations,12023.48,2190.29,2364.49,0,16578.26,148.3,97.6,forecast_models,141,353062.05,117.58,Low,Contractor dependency,Review allocation / approve exception,TXN005727,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1876,Commercial,Commercial,Sales Manager,FJI01,QLD,Queensland Operations,18834.96,183.21,2439.55,0,21457.72,140.1,87.4,revenue_cases,276,88812.98,77.75,Low,Contractor dependency,Review allocation / approve exception,TXN005728,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4581,Operations,Operations,Data Engineer,AUS01,CORP,Corporate Head Office,7827.67,0,2097.46,1482.7,11407.83,133.9,81.8,flights_supported,186,599586.56,61.33,Low,Contractor dependency,Review allocation / approve exception,TXN005729,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4903,Finance,Finance,Controller,NZL01,IT,Information Technology,8588.72,610.35,1463.99,3245.3,13908.36,124.1,56.3,close_tasks,172,281181.19,80.86,Low,High overtime,Review allocation / approve exception,TXN005730,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
